Gene,N-FACS (1+2+3),N-T0 (2+3),N-T3 (1+2+3)
CG42750,10.60653382,0.260206279,0.779838616
CG42751,0,0.141639877,0
CG42752,0,0,0
CG42753,0,0,0
CG42758,0,0,0
CG42759,0.671760434,1.939002849,1.107755256
CG42762,0,0.037557365,0.070817922
CG42763,0.156070392,0,0
CG42764,0.251947062,0,0
CG42766,0.222638436,0,0.115648219
CG42778,0,0,0
CG42779,0,0,0.0326949
CG4278,28.20928186,31.71977609,26.04410774
CG42780,0.094594961,0.179197242,0.156329545
CG42781,0,0,0
CG42782,0,0,0
CG42784,19.79070746,0.193681133,0.251855941
CG42787,0,0,0.115648219
CG42788,16.04741253,3.214265493,2.983087563
CG42789,0,0,0
CG42790,0,0,0
CG42792,0,0,0
CG42795,18.93401001,0.557969923,0.257284063
CG42797,88.65285345,86.55682737,81.88871781
CG42798,0,0,0
CG42806,93.93599037,111.1383618,93.04291161
CG42807,0.365267997,5.928496625,2.356144828
CG42808,0.160539262,0.589632981,0.561956727
CG42809,0.193987775,0,0
CG4281,121.2900199,138.5720387,111.3836729
CG42810,0.033448513,0,0
CG42811,0.031214078,0,0.038123022
CG42812,0.031214078,0,0
CG42813,35.44822459,69.92062817,73.25091093
CG42814,0.031214078,0,0.077525197
CG42815,0.031214078,0,0
CG42816,0.532215803,0.089598621,0.181038019
CG42817,7.667330639,0.627190347,0.579646413
CG42818,0.34749475,0.089598621,0.104791974
CG42819,0.633843051,0.881502319,1.276531711
CG4282,43.76702314,69.89029986,61.81852008
CG42820,0,0.037557365,0.038123022
CG42821,0,0,0
CG42822,0.062428157,0,0
CG42823,0,0,0.0326949
CG42824,0,0,0
CG42825,0,0.104082512,0.104791974
CG42826,0.093642235,0,0
CG42827,0,0.07511473,0.038123022
CG42828,0,0,0
CG42830,0,0,0
CG42831,0,0,0.039402174
CG42832,0,0,0
CG42833,0.031214078,0.089598621,0.0653898
CG42834,0,0,0
CG42835,0,0,0
CG42837,0,0,0
CG42841,0.031214078,0,0
CG42846,1.765137461,0.895986209,0.778247951
CG42847,0.985772448,1.32090584,1.765238378
CG42851,0,0,0
CG42852,0,0,0
CG42853,0.718842308,1.465240993,1.543081353
CG42854,1.695019051,1.245791109,2.09212039
CG42855,0.157975844,1.875676733,2.113058395
CG42857,0,0.208165023,0.257284063
CG4286,0.031214078,0,0.038123022
CG42866,0.098111105,0.052041256,0.197010872
CG42867,0,0.127155986,0.33480926
CG42869,0,0,0
CG4287,17.11465572,25.94672297,23.85774011
CG42870,0,0,0
CG42876,0.129325183,0,0
CG42878,0.160539262,0,0
CG4288,0.58577423,0,0
CG4291,20.39679492,23.93530067,24.61773532
CG4293,39.64252599,44.48673569,47.77016681
CG4294,74.88915135,125.150583,119.7646102
CG4297,2.172825933,0.731272858,0.521275401
CG4300,152.2760766,87.87420694,64.23101617
CG4301,1.209103073,0.890091902,1.205713788
CG4302,1.261470087,3.161720484,2.022648609
