Gene,N-FACS (1+2+3),N-T0 (2+3),N-T3 (1+2+3)
128up,81.74244283,74.39685644,63.48271896
14-3-3epsilon,2912.305102,1845.069771,1551.387493
14-3-3zeta,1218.777136,1117.357957,1073.272775
140up,22.92108437,20.05359218,18.77261045
18w,26.42242712,3.993876823,3.40693439
26-29-p,80.93994352,80.0681693,59.29745294
2mit,30.0472648,1.147602905,0.82479508
312,16.33420152,23.67239911,22.40097954
4E-T,156.1535049,98.15275757,106.7846695
4EHP,84.92143395,59.29980316,59.64815997
5-HT1A,8.757474347,0.141639877,0.070817922
5-HT1B,3.122620673,0,0
5-HT2A,1.755349228,0.881502319,0.561956727
5-HT2B,1.544540931,0.037557365,0.0326949
5-HT7,3.651524796,0.297763644,0.149622271
5.8SrRNA:CR40454,0.189189923,0.037557365,0.104791974
5PtaseI,25.5583448,39.86078172,34.83721735
5SrRNA-Psi:CR33356,0,0,0
5SrRNA-Psi:CR33363,0,0.052041256,0
5SrRNA-Psi:CR33371,0,0,0
5SrRNA-Psi:CR33416,0,0,0
5SrRNA:CR33353,0,0,0
5SrRNA:CR33354,0,0,0
5SrRNA:CR33355,0,0,0
5SrRNA:CR33357,0,0,0
5SrRNA:CR33358,0,0,0
5SrRNA:CR33359,0,0,0
5SrRNA:CR33360,0,0,0
5SrRNA:CR33361,0,0,0
5SrRNA:CR33362,0,0,0
5SrRNA:CR33364,0,0,0
5SrRNA:CR33365,0,0,0
5SrRNA:CR33366,0,0,0
5SrRNA:CR33367,0,0,0
5SrRNA:CR33368,0,0,0
5SrRNA:CR33369,0,0,0
5SrRNA:CR33370,0,0,0
5SrRNA:CR33372,0,0,0
5SrRNA:CR33373,0,0,0
5SrRNA:CR33374,0,0,0
5SrRNA:CR33375,0,0,0
5SrRNA:CR33376,0,0,0
5SrRNA:CR33377,0,0,0
5SrRNA:CR33378,0,0,0
5SrRNA:CR33379,0,0,0
5SrRNA:CR33380,0,0,0
5SrRNA:CR33381,0,0,0
5SrRNA:CR33382,0,0,0
5SrRNA:CR33383,0,0,0
5SrRNA:CR33384,0,0,0
5SrRNA:CR33385,0,0,0
5SrRNA:CR33386,0,0,0
5SrRNA:CR33387,0,0,0
5SrRNA:CR33388,0,0,0
5SrRNA:CR33389,0,0,0
5SrRNA:CR33390,0,0,0
5SrRNA:CR33391,0,0,0
5SrRNA:CR33392,0,0,0
5SrRNA:CR33393,0,0,0
5SrRNA:CR33394,0,0,0
5SrRNA:CR33395,0,0,0
5SrRNA:CR33396,0,0,0
5SrRNA:CR33397,0,0,0
5SrRNA:CR33398,0,0,0
5SrRNA:CR33399,0,0,0
5SrRNA:CR33400,0,0,0
5SrRNA:CR33401,0,0,0
5SrRNA:CR33402,0,0,0
5SrRNA:CR33403,0,0,0
5SrRNA:CR33404,0,0,0
5SrRNA:CR33405,0,0,0
5SrRNA:CR33406,0,0,0
5SrRNA:CR33407,0,0,0
5SrRNA:CR33408,0,0,0
5SrRNA:CR33409,0,0,0
5SrRNA:CR33410,0,0,0
5SrRNA:CR33411,0,0,0
5SrRNA:CR33412,0,0,0
5SrRNA:CR33413,0,0,0
5SrRNA:CR33414,0,0,0
5SrRNA:CR33415,0,0,0
5SrRNA:CR33417,0,0,0
5SrRNA:CR33418,0,0,0
5SrRNA:CR33419,0,0,0
5SrRNA:CR33420,0,0,0
5SrRNA:CR33421,0,0,0
5SrRNA:CR33422,0,0,0
5SrRNA:CR33423,0,0,0
5SrRNA:CR33424,0,0,0
5SrRNA:CR33425,0,0,0
5SrRNA:CR33426,0,0,0
5SrRNA:CR33427,0,0,0
5SrRNA:CR33428,0,0,0
5SrRNA:CR33429,0,0,0
5SrRNA:CR33430,0,0,0
5SrRNA:CR33431,0,0,0
5SrRNA:CR33432,0,0,0
5SrRNA:CR33433,0,0,0
5SrRNA:CR33434,0,0,0
5SrRNA:CR33435,0,0,0
5SrRNA:CR33436,0,0,0
5SrRNA:CR33437,0,0,0
5SrRNA:CR33438,0,0,0
5SrRNA:CR33439,0,0,0
5SrRNA:CR33440,0,0,0
5SrRNA:CR33441,0,0,0
5SrRNA:CR33442,0,0,0
5SrRNA:CR33443,0,0,0
5SrRNA:CR33444,0,0,0
5SrRNA:CR33445,0,0,0
5SrRNA:CR33446,0,0,0
5SrRNA:CR33447,0,0,0
5SrRNA:CR33448,0,0,0
5SrRNA:CR33449,0,0,0
5SrRNA:CR33450,0,0,0
5SrRNA:CR33451,0,0,0
5SrRNA:CR33452,0,0,0
7B2,62.73868165,0.875608012,0.419041731
7SLRNA:CR32864,0,0,0
7SLRNA:CR42652,0,0,0
825-Oak,0,0.15022946,0.148343119
A16,65.66562103,70.76827591,64.94048264
A2bp1,317.2358801,127.1600895,174.8045126
ABCB7,34.6118753,52.99490189,56.43435572
ACC,111.1682146,156.1929918,130.4932716
ACXA,0.062428157,0,0.072097074
ACXB,0,0,0
ACXC,0.031214078,0,0
ACXD,0.441136985,0.112672095,0.412334456
ACXE,0.124856314,0,0
AGBE,95.21259279,136.2426511,139.9603771
AGO1,508.9637993,376.9149969,656.5698958
AGO2,315.0895869,548.8938488,558.3070305
AGO3,3.523537395,6.359814316,9.636058417
AIF,96.62586113,81.74966115,71.96291715
ALiX,148.2212192,251.5616433,266.3502624
AMPKalpha,87.71745183,152.0549563,137.7869027
AMPdeam,98.00964183,125.6745476,138.7701962
AP-1-2beta,189.8743218,204.5476323,172.6890896
AP-1gamma,184.5419712,196.2408801,193.3691652
AP-1mu,65.44117822,65.27379225,58.15627731
AP-1sigma,47.56956942,64.53224204,61.26703952
AP-2alpha,174.2405627,144.4267554,125.1123421
AP-2mu,114.4846544,98.93997676,87.07231253
AP-2sigma,64.13651667,55.80631372,48.18209669
APC10,27.00656548,31.41611814,26.52879161
APC4,47.314448,63.17866564,58.14551649
APC7,1.208308653,3.722385684,3.348874891
APP-BP1,62.94319197,95.88216227,106.8725434
AQP,0.319796815,0.283279753,0.552379635
ARY,0,0,0
ASPP,26.85524634,159.6538107,196.3246667
ATP7,31.42420785,41.87540305,42.04355998
ATPCL,265.4066478,287.7936938,246.1392428
ATPsyn-Cf6,141.4958157,111.6629809,95.63017877
ATPsyn-b,254.1734984,242.1981223,202.7228745
ATPsyn-beta,1127.957098,991.8482254,792.1348085
ATPsyn-d,235.3378282,181.931399,142.2039951
ATPsyn-gamma,303.4510615,289.5215348,254.6639844
ATbp,17.72453381,24.47609142,20.74933575
Aac11,431.0092392,441.8520857,428.382707
Aatf,79.78680153,60.56614898,62.38763064
Aats-ala,443.622113,504.2030296,521.5550008
Aats-ala-m,21.44414503,31.51042705,28.48323978
Aats-arg,136.9644748,125.6565375,112.1898787
Aats-asn,370.7325327,234.732116,213.1268199
Aats-asp,296.2503537,353.2352219,381.0262365
Aats-cys,69.93818301,80.03718651,88.92239595
Aats-gln,104.1586103,163.360227,151.8437874
Aats-glupro,319.4717331,333.1157848,296.3126818
Aats-gly,310.5647831,384.8121741,400.156182
Aats-his,254.7492375,366.3654885,354.1050689
Aats-ile,415.9717173,490.3639091,483.931823
Aats-leu,33.07581904,54.43487789,50.64931247
Aats-lys,332.1431417,357.5080212,324.5256769
Aats-met,17.34563,22.94163,19.40566351
Aats-phe,18.41588063,17.98473807,17.89377868
Aats-pro,13.38451836,20.70705504,21.41455217
Aats-ser,31.60499305,53.64516571,44.60935654
Aats-thr,579.2266561,540.3967175,503.7805134
Aats-trp,95.86461186,116.7855937,123.3280074
Aats-tyr,103.4564775,118.2809865,135.5557475
Aats-tyr-m,22.50427555,26.34116356,24.80030403
Aats-val,286.3601654,237.1246532,252.7275597
Abd-B,4.150292085,0,0
Abi,93.62587383,76.71815824,68.1766138
Abl,143.5883727,80.03582598,69.04657649
Abp1,81.72441063,81.21156567,67.0423472
Ac13E,7.080240478,12.00301617,7.544325126
Ac3,51.37948029,63.81981034,79.25660029
Ac76E,3.14884437,0.875608012,0.541523391
Ac78C,11.27246575,1.037626086,0.476445104
AcCoAS,95.51502299,224.4966382,234.6967418
Acam,0,0,0
Ace,29.58948903,0.089598621,0.270698612
Acer,24.92454791,21.94896685,20.42376677
Acf1,281.4512986,227.0636624,175.8170627
Ack,69.23508398,107.244008,101.3214628
Ack-like,187.0709176,261.8181537,259.0043615
Acn,455.5199942,479.3671832,422.7813469
Acon,353.5357193,319.892066,224.8783279
Acox57D-d,1.519598943,1.023142195,1.355336059
Acox57D-p,0.889601018,0.627190347,0.296686238
Acp1,0,0,0
Acp24A4,0,0,0
Acp26Aa,0,0,0
Acp26Ab,0,0,0
Acp29AB,0,0,0
Acp32CD,0,0,0
Acp33A,0,0,0
Acp36DE,0.542627779,0.037557365,0.176889049
Acp53C14a,0.031214078,0,0
Acp53C14b,0.127090749,0,0
Acp53C14c,0.160539262,0.052041256,0
Acp53Ea,0.033448513,0,0
Acp54A1,0,0,0
Acp62F,0.031214078,0,0
Acp63F,0.193987775,0.343910593,0.153771241
Acp65Aa,0,0,0
Acp76A,0,0,0
Acp95EF,3.066203632,2.158452733,2.220374786
Acp98AB,0.033448513,0,0.114369066
Acph-1,16.46720116,26.8137414,20.51476491
Acsl,195.7440705,164.4663674,140.8118858
Act42A,1032.520929,632.8891456,446.8533455
Act57B,0.840613693,1.719552965,0.454732616
Act5C,3838.488277,2409.257204,1876.545046
Act79B,0.354198054,0.089598621,0.153771241
Act87E,0.918909644,0.722683274,0.231296438
Act88F,0.119729478,0.546181309,0.149622271
Actbeta,20.81488588,5.688164791,3.992035004
Actn,338.0818462,420.8385525,327.5468966
Actn3,0,0,0
Acyp,0,0,0
Acyp2,26.76643618,28.24580807,26.19681828
AdSL,27.04734104,47.7080795,42.95483433
AdSS,172.6814337,348.260294,453.4095267
Ada,8.736241031,6.320241937,5.963582934
Ada1-1,3.111709036,2.713727379,3.373583364
Ada1-2,3.64970964,4.464943402,5.402501567
Ada2a,26.5465665,21.18991023,17.7224778
Ada2b,61.5662003,93.51554452,98.49099345
Adam,183.3869019,167.7357225,165.900562
AdamTS-A,7.566870933,9.710505642,5.400851723
Adar,114.0488344,93.04883521,96.93809414
AdenoK,55.63900863,58.11549967,65.09658435
Adf1,126.1966447,122.6367841,93.21771707
Adgf-A,22.24049922,36.80195973,27.96282462
Adgf-B,0.249712628,0.089598621,0.0326949
Adgf-C,1.01284664,0.768830223,0.439601234
Adgf-D,2.672942941,1.973864937,0.965681731
Adgf-E,0,0,0.0326949
Adh,0,0.052041256,0
Adhr,0,0,0
AdipoR,97.45793075,149.7754184,139.917474
Adk1,9.880556993,8.467409809,9.584065685
Adk2,145.874867,176.4423059,164.6065583
Adk3,7.154589072,8.407282723,6.900693445
AdoR,3.012986124,0.254311972,0.224589163
Ady43A,16.01744593,29.70278672,25.93535215
Aef1,77.09593493,60.3263209,48.13297456
Afti,46.20248145,52.09065334,43.35043864
Ag5r,0.658648586,27.16742559,4.948147453
Ag5r2,0,0.037557365,0.072097074
Ahcy13,180.7381052,241.089235,218.7950138
Ahcy89E,0.158304827,0.089598621,0.076246044
Ak6,34.48270799,20.47800806,19.9280919
Akap200,1156.960284,712.0829385,579.007673
Akh,0.336617336,0.283279753,0.108940944
AkhR,0.152225266,0.890091902,0.209583949
Akt1,163.2036794,91.17650824,135.9079787
Alas,23.34303038,27.92867374,27.90372734
Ald,369.0313671,498.9000098,514.2144979
Aldh,418.6379852,929.5327504,861.6632733
Aldh-III,52.22091974,120.1182491,138.0982352
Alg-2,85.2728142,87.25527893,71.82894919
Alg10,50.15797854,73.58389428,74.73971185
Alh,296.4299487,147.9456863,124.9422205
Alk,48.19413987,0.855733567,0.072097074
AlkB,10.5957467,24.79541728,20.45065426
Alr,49.41803234,71.29221474,89.63086247
Ama,130.5509835,2.081146479,0.076246044
Amnionless,1.618333791,0.956617049,0.548230666
Amph,24.88467891,23.12992058,20.47011996
Amun,756.2563437,770.7548453,669.3988711
Amy-d,0,0.598222565,0.181038019
Amy-p,0,0.395951849,0.402757364
Amyrel,0.415344502,0.052041256,0
Ance,0.28026874,1.913234098,0.904878581
Ance-2,0.062428157,0,0
Ance-3,0.033448513,0.297763644,0.36335519
Ance-4,0.062428157,0.681926879,0.216291223
Ance-5,0.907408487,8.114909633,4.978065602
Andorra,0,0,0
Ank,285.3553191,371.6712513,329.6619207
Ank2,155.0194683,9.402464644,4.191511902
Anp,0.031214078,0.052041256,0
Ant2,31.41406633,8.367030081,8.33907589
Antp,119.8882843,0.104082512,0.0326949
AnxB10,18.21999934,21.3305426,17.89939214
AnxB11,36.85097697,70.22562087,92.19457228
AnxB9,57.4972024,31.72987693,25.27194404
Aos1,296.4517784,298.7124589,227.4270662
Apc,161.9562531,182.6653413,151.2100566
Apc2,50.95074068,72.3413022,63.92439103
ApepP,107.3573963,126.5242361,110.9598933
Apf,5.200454217,6.071824272,5.331683645
Aph-4,0.768918813,0.581043398,0.941722451
Aplip1,33.62669685,3.595229698,3.55615287
Apoltp,5.144276298,8.260756046,3.309910396
Appl,196.5751585,12.41765845,22.4217236
Aprt,5.489105398,4.837821777,4.459626131
Aps,408.059485,410.7000016,436.3941426
Arc1,32.31960386,235.9635224,410.6896682
Arc2,2.718777328,16.10636606,23.40655171
Arc42,28.43200067,24.75516464,23.19201823
Arf102F,98.38756942,78.68731289,70.26625957
Arf51F,107.1012723,83.99315295,72.38239813
Arf79F,698.9179595,546.525091,462.208542
ArfGAP1,102.4789846,84.70591189,84.65701282
ArfGAP3,145.2402033,224.8634458,221.5184435
Arfip,45.57365353,31.58234275,28.64830494
Arfrp1,13.32047951,17.59417678,14.51767089
Argk,729.7240521,132.8440993,92.34500822
Ark,68.08001425,124.9899255,112.0156392
Arl1,48.91107312,44.45036234,43.89810574
Arl2,25.8629998,23.25876434,22.05269577
Arl4,46.53170286,39.86078172,35.9710447
Arl6,0.847509526,0.306353228,0.466868012
Arp1,155.0178191,142.4460144,121.0225508
Arp10,37.83116707,52.55819365,51.11432029
Arp2,169.2301555,175.2875989,142.8982475
Arp3,146.8650424,138.594785,115.4444472
Arp5,57.85798599,62.76553462,61.90944262
Arp53D,0,0,0
Arp6,103.8337686,136.8048276,136.5014683
Arp8,64.22662135,71.65904808,66.9419331
Arpc1,143.7260366,186.583449,176.9933945
Arpc2,129.370688,111.2798252,97.0658324
Arpc3A,59.45445194,51.01363139,47.45523406
Arpc3B,0.031214078,0.583738674,0.504991034
Arpc4,94.08105926,72.79755764,67.92380534
Arpc5,52.14648286,55.12876989,46.86606192
Arr1,0.093642235,0.037557365,0.038123022
Arr2,15.02593239,24.48687253,18.18492782
Ars2,329.1589504,322.0941212,254.806313
Art1,317.3454416,232.0456686,180.3582285
Art2,0.247772953,0.037557365,0
Art3,105.5291946,88.34645754,77.57478422
Art4,249.8596285,221.8093341,174.5832317
Art6,0.031214078,0,0
Art7,35.25000461,94.89675395,97.11678348
Art8,31.15353395,26.28103647,23.80054737
Art9,0.031214078,0,0
Asap,220.9742719,276.0074064,262.9131913
Asator,91.73520972,96.20214262,118.4123794
Asciz,9.379056044,14.93249065,14.95767592
Asph,12.83560655,2.144472595,0.552379635
AstA,4.410416689,0.71089466,0.419041731
AstA-R1,1.017973475,0.193681133,41.42814962
AstA-R2,0.940199035,0,0.038123022
AstC,1.85384539,0.07511473,0
AstC-R1,1.048563811,0,0
AstC-R2,5.627278024,0,0
AstCC,1.495122391,0,0
Asx,115.2438291,114.2559246,98.92644701
Atac1,11.25709516,16.3000472,19.30480206
Atac2,41.6686926,87.55319331,73.28456538
Atac3,45.84633179,47.1317464,42.68641639
Ate1,48.49567254,87.80649778,106.7092811
Atet,41.46509964,85.8710212,96.19858937
Atf-2,12.62509258,23.75980621,20.4835684
Atf3,11.26168855,4.385445625,7.114266308
Atf6,63.27281827,58.96193761,74.38129
Atg1,60.91635387,71.98086692,77.04438818
Atg10,7.442989196,7.930321837,7.226422471
Atg101,22.39514066,52.52585033,51.22532318
Atg12,12.31812277,11.05448496,9.840196763
Atg13,50.35488302,78.43972622,63.64811441
Atg14,60.27289037,81.6977964,74.3181874
Atg16,35.45521115,47.19456876,42.408632
Atg17,74.33590467,137.1902998,150.4685436
Atg18a,53.15227335,73.83921376,74.86125897
Atg18b,6.888577435,14.79825634,22.28705596
Atg2,55.50407923,85.60560088,85.63841321
Atg3,49.0560175,40.35071523,40.9766714
Atg4a,43.88847791,58.42066888,55.10422657
Atg4b,38.19056988,78.65766484,75.89803754
Atg5,20.86519818,31.54848817,26.30938683
Atg6,29.37113238,57.25606332,60.33148578
Atg7,28.78522371,44.37287957,43.22282317
Atg8a,202.571462,324.0605548,355.227827
Atg8b,0.031214078,0,0
Atg9,22.47504774,52.17604543,54.97559912
Atox1,20.17137579,23.60537021,20.77844474
Atpalpha,839.1713565,552.1245874,477.6291996
AttA,0.446887564,5.012635972,6.12340296
AttB,4.304184117,7.405526232,7.356383526
AttC,0.253852514,15.79326175,10.72706161
AttD,0.09587667,3.093003814,2.618200099
Atu,141.0158519,149.5488902,146.1412544
Atx-1,1.542170042,1.976560214,1.426027814
Atx2,248.5103499,285.2741255,253.8655932
Atxn7,49.7982814,44.68479987,33.8925495
Aven,7.602485436,10.69069992,10.5156472
Awh,12.48214597,0.187786826,0.509669963
Axn,97.97350003,97.49745622,84.8684056
Axs,25.51747649,44.51182417,41.47862447
Axud1,84.72123348,114.0625965,107.6564481
B-H1,8.316167121,1.095561649,0
B-H2,4.714867657,1.141708598,0.0653898
B4,159.5873775,59.34595011,58.03278918
B52,1048.289018,800.7589001,612.9400146
BBS1,0.129325183,0,0.0326949
BBS4,0.122292896,0,0
BBS8,0.379661554,0.141639877,0.29796539
BCAS2,74.14711376,59.38605202,46.12591249
BCL7-like,117.223059,104.10453,81.0522344
BEAF-32,146.8727026,149.5078066,128.5210788
BG642163,0,0,0
BG642167,0,0.052041256,0.149622271
BG642312,0.031214078,0,0
BHD,134.5428654,153.5717606,160.23013
BI-1,145.4946262,162.4462048,200.731452
BM-40-SPARC,18.51158908,24.91768647,14.22557209
BRWD3,311.6656242,304.5781074,308.3798168
BTBD9,43.76432616,64.60027845,56.83814069
Bacc,2205.21664,1114.29591,888.619691
Bace,0.062428157,0.07511473,0.149622271
Baldspot,217.9787914,289.5724913,237.1174774
Bap170,246.9887058,311.3215812,251.8110022
Bap55,223.352496,164.9187694,137.5066776
Bap60,387.215446,452.2136128,438.9622522
Bdbt,35.18282432,37.33552143,30.95153998
Bem46,17.50912967,25.41772083,20.04899071
Best1,40.64879428,38.15520889,35.75266595
Best2,0.309577367,0.127155986,0.254414246
Best3,0.314998962,1.12452943,0.768670859
Best4,0.064662592,0.245722388,0.362076038
Bet1,21.08882357,19.3716653,19.55740562
Bet3,18.99179862,18.28300547,19.4130608
Bet5,8.519058413,10.25668695,11.27564161
Bgb,92.3532077,65.14512501,52.51231544
BicC,0,0,0
BicD,76.13898671,79.36956701,69.54569154
BigH1,0.031214078,0.841249677,0.38731447
Bili,13.5367094,1.861192842,1.607503513
Bin1,80.16637736,63.2677605,54.50042536
Bka,32.5652554,29.94009604,29.32428534
Blimp-1,0.597207377,0.447993105,0.375928267
Blm,65.19440213,75.87690856,65.9236945
Blos1,15.46911128,12.98169919,12.10094136
Blos2,9.434156718,10.99874092,9.914195228
Blos3,15.66999489,22.16539421,20.15065272
Blos4,8.268790052,15.03707692,12.16894865
Bmcp,30.59046727,42.73282439,36.4978736
BoYb,4.934182042,10.30384141,12.41287655
BobA,0,0.164713351,0.039402174
Br140,126.8935827,157.6157886,141.4029495
Brca2,12.0669825,23.20823434,21.43443026
Brd,0.638311921,0.262901556,0.796122982
Brd8,102.8465789,121.7355838,118.5824504
Bre1,201.4333236,156.8459509,127.2977483
Brf,84.42474033,120.3306464,94.70920841
Brms1,83.4613246,68.2359373,55.15036754
Bro,0.790537187,0.3498049,0.217881889
Bruce,374.5431601,603.9725924,634.8371477
Bsg,206.1635339,84.64321448,150.3636731
Bsg25A,0,0,0
Bsg25D,63.4765654,63.04745385,56.07431742
BtbVII,212.9127769,199.9467668,184.7458164
Btd,0.156070392,0,0
Bteb2,0.031214078,0,0
BthD,178.8634416,207.8981729,195.2261429
Btk29A,64.54744179,61.28714449,80.1110255
Bub1,88.24064494,83.49059982,73.36829318
Bub3,268.0144205,295.0227438,209.9929156
BubR1,172.3679873,211.4770287,181.8281674
Buffy,0.893638673,0.306353228,0.862168909
Burs,0.909971905,0.089598621,0.039402174
Bx,37.49483703,4.679002733,3.62013735
Bx42,208.148411,246.2223017,246.5555394
Bzd,34.62890072,48.61046377,47.10270202
C15,1.819353854,0,0
C1GalTA,49.66059606,67.27644846,58.16190955
C3G,89.86355773,77.36015972,67.31508433
C901,0.09587667,0,0.038123022
CAH1,10.11019349,8.008131844,5.559614194
CAH2,0.709054074,0.381467958,0.183596323
CAHbeta,3.132805899,3.716491377,2.858703725
CAP,19.23926689,10.26578029,4.79393932
CASK,92.11377463,85.29519185,84.99891617
CBP,127.3846886,278.5545819,258.0233933
CCAP,1.664462938,0,0.191894263
CCAP-R,1.143158772,0.052041256,0.0326949
CCDC151,0.02993237,0,0
CCHa1,0.957779753,0,0
CCHa1-R,1.133960059,0,0
CCHa2,1.764184735,0.329426702,0.0326949
CCHa2-R,3.567081273,0.179197242,0.0326949
CCKLR-17D1,2.564181173,0.156123767,0.0326949
CCKLR-17D3,3.259533878,0.245722388,0.219161041
CD98hc,821.385478,577.4368175,497.451128
CDC45L,102.497687,123.4783868,98.09525487
CDase,4.821881843,0.681926879,0.354089611
CG10000,0.127090749,0.07511473,0.111499249
CG10005,1.538982881,1.277454167,1.87801678
CG10011,125.8767121,86.26478153,72.97358114
CG10013,0.064662592,1.280653198,2.048131565
CG10014,0.093642235,0,0
CG10019,4.622314166,0,0
CG10026,1.705635927,0.277385447,0.33480926
CG10029,0.031214078,0,0
CG10031,0,0.268795863,0.039402174
CG10032,0,0,0
CG10035,0.093642235,0,0
CG10038,73.24021398,86.87245045,82.2552726
CG10041,2.53809393,0.9104701,2.358047006
CG10050,9.627691427,12.55138901,11.25143781
CG10051,0.094594961,0.089598621,0
CG10053,13.95010186,13.62337343,13.03969312
CG10055,65.68525487,70.68489884,62.79776781
CG10062,0.031214078,0,0.070817922
CG10063,4.851938731,9.964817614,20.52213877
CG10064,7.348077623,10.85221424,10.41853014
CG10068,19.91205798,23.59509286,18.40345724
CG10073,0.062428157,0,0
CG10075,17.54685496,18.09101211,14.72996461
CG10077,825.6795655,909.1982168,870.5450088
CG10081,0.062428157,0,0.039402174
CG10082,80.42691956,42.83421162,32.43896947
CG10086,0,0.104082512,0.076246044
CG10089,5.043114486,0.15022946,0.077525197
CG10092,32.9936899,43.21517583,38.10350102
CG10096,0,0,0
CG10097,0,0,0
CG10098,45.837206,22.98676945,19.17364317
CG10103,63.0767935,85.60408962,93.19482502
CG10104,0.093642235,0,0.076246044
CG10116,0.127090749,0,0.077525197
CG10126,2.388636545,1.092362619,0.976008016
CG10131,0,3.068922833,1.454699912
CG10132,25.7589361,1.381536679,1.448707942
CG10133,26.67702659,36.92188666,31.92149764
CG10137,33.70005647,31.15253632,30.29592515
CG10139,47.24789146,51.45454617,45.98673408
CG10140,0,0.07511473,0.136207722
CG10144,28.25676159,44.63847641,42.26048204
CG10147,5.282504998,4.153199621,3.540709975
CG10151,30.90036414,28.75055272,22.04324563
CG10154,0.093642235,0,0.039402174
CG10157,0.481288803,0.07511473,0.0326949
CG10158,71.87732198,87.11497381,83.60364826
CG10163,0.152225266,0.052041256,0.078804349
CG10164,0,0,0
CG10165,13.05721188,19.62648103,22.93451572
CG10166,28.84880704,35.2345005,33.94130172
CG10168,0,0,0.039402174
CG10170,0.031214078,0.104082512,0
CG10171,29.14348215,50.74095623,47.14429259
CG10175,0.098111105,0,0
CG10176,1.052374715,0.089598621,0.0326949
CG10177,0.062428157,0,0
CG10178,0.121011187,0.306353228,0.070817922
CG10182,0.093642235,0,0
CG10183,0,0,0.038123022
CG10184,0.557974063,0.372878374,0.29381642
CG10185,11.52395729,14.16146891,14.11063839
CG10186,46.91045539,15.28869361,27.19575016
CG10188,48.20217779,55.55991107,44.55923288
CG10189,17.56432108,51.51467325,77.20572672
CG10194,4.12330819,13.54067662,15.35734502
CG10195,20.14760336,35.07618521,32.99668337
CG10202,0.124856314,0,0
CG10205,0.09587667,0,0
CG10208,2.115524611,2.421858042,3.425432448
CG10209,13.93601543,16.03984092,15.14077617
CG10211,0.064662592,0.052041256,0.209583949
CG10214,35.3409927,26.27564592,25.52785667
CG10217,16.64052372,18.54540327,13.32038121
CG10219,79.07585851,78.78955689,65.66868359
CG10222,11.83317145,18.1784192,17.37942978
CG10226,0.275799871,0.127155986,0.174330744
CG10232,0,0.037557365,0.108940944
CG10237,10.06921347,23.55753549,22.87421724
CG1024,52.24877843,53.83025726,50.07113055
CG10249,26.58229675,20.31682098,3.453700753
CG10252,0.093642235,0,0
CG10253,15.2061413,0.968405663,0.141635844
CG10254,70.48742423,69.9130461,56.42391968
CG10257,0.751667078,0.948027465,1.377612395
CG10262,2.117066858,0.453887412,0.479003409
CG10264,0.379332571,1.069289144,0.915734825
CG10265,25.16666058,25.31414207,24.62332271
CG10268,17.48540138,18.17033337,20.76062888
CG10274,53.702842,79.11913433,72.50266689
CG10280,0,0,0
CG10283,40.01853696,43.9183119,48.10261171
CG10286,109.9796737,116.1870439,117.5463954
CG10289,164.923413,117.8201457,144.3502478
CG10298,3.225858613,6.072328026,5.967858071
CG10300,0,0.037557365,0.039402174
CG10301,0.031214078,0.037557365,0.0326949
CG10306,185.5915337,196.7917974,230.504626
CG10307,9.262321198,9.222259895,9.740672855
CG10311,1.474978255,0.898681486,0.770261524
CG10317,0.031214078,0,0
CG10320,50.33491659,43.61399946,44.41313684
CG10321,92.68305574,89.73421577,77.37246981
CG10324,43.19854637,46.28629018,38.43843644
CG10326,255.1940147,217.4424282,177.7478829
CG10332,0,0,0
CG10333,122.2454303,134.5894468,127.2549797
CG10336,68.75605102,77.42283135,53.47528662
CG10337,6.365231362,14.26875045,20.3131004
CG10338,9.219220906,11.86356782,9.507634295
CG10339,0.124856314,0.052041256,0
CG10340,42.72354,44.18695703,37.52234762
CG10341,57.63631222,52.13158625,48.78439013
CG10343,24.73630826,29.46902946,23.94462395
CG10344,1.441200759,4.476732016,4.514874992
CG10345,0.396482075,0.193681133,0.311817619
CG10347,65.96484249,84.41522657,77.27564162
CG10348,0.031214078,0,0.038123022
CG10352,0.500048998,0.627190347,0.94958271
CG10353,116.3043995,163.4201518,138.3332332
CG10357,0,0,0
CG10359,3.644424499,4.529780779,2.043267291
CG10361,0.820435334,0.202270716,0.0653898
CG10362,11.5089643,1.430882658,1.511977118
CG10365,5.135167882,2.282913442,1.936573138
CG10366,36.36631796,46.83078372,42.26506088
CG10375,70.99548124,66.92732382,63.98489936
CG10376,40.24924782,129.0061955,115.600271
CG10383,22.44344615,85.12914375,93.3040678
CG10384,6.349205261,0,0.076246044
CG10395,40.75978759,47.6001177,40.31962596
CG10396,0.32203125,0.50003436,0.695294632
CG10399,16.11886828,25.85662059,25.75709088
CG10405,0.066897027,0.07511473,0.601358902
CG10407,2.317395168,6.94204173,9.078266279
CG1041,20.47130138,30.1320894,22.4012058
CG10413,60.79182698,78.30246939,66.25371536
CG10417,307.7049296,194.357294,168.240735
CG10418,60.72637568,56.14551402,56.24886689
CG10420,15.24423841,15.36380834,17.16735452
CG10424,23.38865943,35.67272001,36.54905796
CG10425,15.09092396,21.89760586,22.29095181
CG10426,11.75773411,7.297740937,6.3431972
CG10428,27.33307753,38.9171373,30.54725973
CG10431,25.73724972,21.05786744,15.22566477
CG10433,4.339742546,5.161857926,3.660128662
CG10435,40.90506052,63.40400983,64.47502073
CG10440,11.87714698,20.62924503,23.34238969
CG10444,42.18889811,39.54803043,35.17291007
